feature_group,candidate_type,feature_name,source_table,table_name,source_column,db_data_type,unit,description_ko,join_rule,readiness_status,main_model_candidate
gir_supply_compliance,raw_numeric_column,gir_additional_allocation__no,raw.gir_additional_allocation,gir_additional_allocation,no,integer,,순번,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_additional_allocation__allocation_qty,raw.gir_additional_allocation,gir_additional_allocation,allocation_qty,numeric,톤,추가할당량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_borrowing__no,raw.gir_borrowing,gir_borrowing,no,integer,,순번,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_borrowing__borrowing_qty,raw.gir_borrowing,gir_borrowing,borrowing_qty,numeric,톤,배출권 차입량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_cancelled_allocation__no,raw.gir_cancelled_allocation,gir_cancelled_allocation,no,integer,,순번,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_cancelled_allocation__cancelled_qty,raw.gir_cancelled_allocation,gir_cancelled_allocation,cancelled_qty,numeric,톤,할당 취소량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_carryover__no,raw.gir_carryover,gir_carryover,no,integer,,순번,source-specific join rule review required.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_carryover__carryover_qty,raw.gir_carryover,gir_carryover,carryover_qty,numeric,톤,배출권 이월량,source-specific join rule review required.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_carryover__banking_qty,raw.gir_carryover,gir_carryover,banking_qty,numeric,톤,상환배출권 수량,source-specific join rule review required.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_certified_emissions__no,raw.gir_certified_emissions,gir_certified_emissions,no,integer,,순번,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_certified_emissions__certified_emissions_qty,raw.gir_certified_emissions,gir_certified_emissions,certified_emissions_qty,numeric,톤,인증 배출량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_certified_performance__no,raw.gir_certified_performance,gir_certified_performance,no,integer,,번호,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_certified_performance__certified_qty,raw.gir_certified_performance,gir_certified_performance,certified_qty,numeric,tCO2-eq,온실가스감축량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_early_reduction__no,raw.gir_early_reduction,gir_early_reduction,no,integer,,순번,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
gir_supply_compliance,raw_numeric_column,gir_early_reduction__early_reduction_qty,raw.gir_early_reduction,gir_early_reduction,early_reduction_qty,numeric,톤,조기감축실적 할당량,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False
