feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
mkt_market_vwap,시장 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,True
mkt_total_trdvol,시장 총 거래량,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.0150093808630394,True
mkt_total_trdval,시장 총 거래대금,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.0023452157598499064,True
mkt_n_vintages,거래 빈티지 수,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.8818011257035647,True
mkt_vwap_range,빈티지 간 VWAP 범위,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.8874296435272045,True
mkt_min_vwap,일별 최저 빈티지 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.01876172607879925,True
mkt_max_vwap,일별 최고 빈티지 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.020168855534709193,True
mkt_log_market_vwap,시장 VWAP 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,True
mkt_daily_logret,시장 VWAP 일간 로그수익률,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.00046904315196998124,0.0,0.0,0.000925925925925926,0.0,0.0,0.05302674800563116,True
mkt_total_trdvol_log1p,시장 총 거래량 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.0150093808630394,True
mkt_total_trdval_log1p,시장 총 거래대금 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.0023452157598499064,True
mkt_is_blended,복수 빈티지 거래일 여부,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0,0.8818011257035647,True
mkt_market_vwap_lag_1d,시장 VWAP 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.00046904315196998124,0.0,0.0,0.000925925925925926,0.0,0.0,0.01923979352416706,True
